tcga_code,gene,round2B_logFC,round2B_q,round2B_robust,round2B_interpretation,stage1_shift,stage1_robust,stage1_interpretation,finite_overlap,direction_concordant,robust_call_agreement,round2B_n_pairs,stage1_n_pairs,stage1_mean_shift,stage1_p_value,stage1_q_value_bh70,stage1_passes_statistical_screen,stage1_passes_effect_screen,round2B_analysis_status,stage1_status,xena_patient_cases,round2B_patient_cases,n_common_patient_cases,n_xena_only_cases,n_round2B_only_cases,exact_patient_set_match,patient_set_relation,status
LUSC,CYP3A4,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,51,50,0.1349223267590111,0.16550421995323794,0.2317059079345331,FALSE,FALSE,low_expression_not_estimable,estimable_xena,50,51,50,0,1,FALSE,source_specific_mismatch_recorded,count_level_not_estimable:low_expression_not_estimable
LUSC,CYP3A5,-0.99559653632554,7.159071968447066e-9,TRUE,loss,-1.3404449445300364,TRUE,loss,TRUE,TRUE,TRUE,51,50,-1.3057740178350208,2.8463342278143777e-8,1.532641507284665e-7,TRUE,TRUE,primary_count_level,estimable_xena,50,51,50,0,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
LUSC,CYP3A7,-2.6581924619032,1.8028016872884673e-13,TRUE,loss,-0.795026031694703,TRUE,loss,TRUE,TRUE,TRUE,51,50,-0.8978404049076445,4.130492865814619e-9,3.212605562300259e-8,TRUE,TRUE,primary_count_level,estimable_xena,50,51,50,0,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
LUSC,CYP3A43,,,FALSE,not_estimable_primary,-0.006706560435292219,FALSE,not_robust,FALSE,,,51,50,0.0018872550079696306,0.43363436278906686,0.4976132032005685,FALSE,FALSE,low_expression_not_estimable,estimable_xena,50,51,50,0,1,FALSE,source_specific_mismatch_recorded,count_level_not_estimable:low_expression_not_estimable
PRAD,MAOB,-1.3230157448894475,8.008712284692468e-10,TRUE,loss,-1.3120299175604815,TRUE,loss,TRUE,TRUE,TRUE,52,52,-1.3133911125175808,3.0128620129819123e-7,1.2405902406396109e-6,TRUE,TRUE,primary_count_level,estimable_xena,52,52,52,0,0,TRUE,exact_match,overlap_estimable
PRAD,CYP3A4,,,FALSE,not_estimable_primary,-0.014359134358551033,FALSE,not_robust,FALSE,,,52,52,-0.023630664335972034,0.014005929431772032,0.026423322628996188,TRUE,FALSE,low_expression_not_estimable,estimable_xena,52,52,52,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
PRAD,CYP3A5,-1.4360464349641855,1.8028016872884673e-13,TRUE,loss,-1.7064168426499187,TRUE,loss,TRUE,TRUE,TRUE,52,52,-1.803353169612777,6.411317473013741e-9,4.079929301008744e-8,TRUE,TRUE,primary_count_level,estimable_xena,52,52,52,0,0,TRUE,exact_match,overlap_estimable
PRAD,CYP3A7,,,FALSE,not_estimable_primary,-0.35345430844786896,FALSE,not_robust,FALSE,,,52,52,-0.5097963854497094,4.92124311953285e-7,1.8130895703542077e-6,TRUE,FALSE,low_expression_not_estimable,estimable_xena,52,52,52,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
PRAD,CYP3A43,-0.7124778756562306,0.0144080187540488,TRUE,loss,-0.1545413783444149,FALSE,not_robust,TRUE,TRUE,FALSE,52,52,-0.13923133421064926,0.0017047062708060374,0.0034094125416120748,TRUE,FALSE,primary_count_level,estimable_xena,52,52,52,0,0,TRUE,exact_match,overlap_estimable
STAD,MAOB,-1.9133117519938712,1.676136036126273e-7,TRUE,loss,-1.4572869908263906,TRUE,loss,TRUE,TRUE,TRUE,33,33,-1.4043308383094966,7.854714012275442e-5,2.1147306956126192e-4,TRUE,TRUE,primary_count_level,estimable_xena,33,33,32,1,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
STAD,CYP3A4,-2.4340114440665364,0.00999717957933716,TRUE,loss,-0.22035768034620123,FALSE,not_robust,TRUE,TRUE,FALSE,33,33,-0.8471654058175836,0.1812310599712979,0.24332939476671295,FALSE,FALSE,primary_count_level,estimable_xena,33,33,32,1,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
STAD,CYP3A5,-0.22373042944017868,0.6459711445508095,FALSE,not_robust,0.5645871258861854,FALSE,not_robust,TRUE,FALSE,TRUE,33,33,0.51323614728594,0.46381402604052613,0.5236609971425296,FALSE,FALSE,primary_count_level,estimable_xena,33,33,32,1,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
STAD,CYP3A7,,,FALSE,not_estimable_primary,0.028034508458644358,FALSE,not_robust,FALSE,,,33,33,0.11627625294023897,0.24183485754358958,0.30988476326528486,FALSE,FALSE,low_expression_not_estimable,estimable_xena,33,33,32,1,1,FALSE,source_specific_mismatch_recorded,count_level_not_estimable:low_expression_not_estimable
STAD,CYP3A43,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,33,33,-0.007388554623299168,0.6568032044407393,0.7062700634113442,FALSE,FALSE,low_expression_not_estimable,estimable_xena,33,33,32,1,1,FALSE,source_specific_mismatch_recorded,count_level_not_estimable:low_expression_not_estimable
THCA,MAOB,-1.5046117850422522,8.815817469786312e-9,TRUE,loss,-1.5821370201197833,TRUE,loss,TRUE,TRUE,TRUE,59,59,-1.3617488111273446,5.770947040387425e-9,4.0396629282711975e-8,TRUE,TRUE,primary_count_level,estimable_xena,59,59,59,0,0,TRUE,exact_match,overlap_estimable
THCA,CYP3A4,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,59,59,-0.00599565355955874,0.10701659969824989,0.15938642508249984,FALSE,FALSE,low_expression_not_estimable,estimable_xena,59,59,59,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
THCA,CYP3A5,-0.23007884364699577,6.399766972257916e-6,FALSE,not_robust,-0.15876405393346726,FALSE,not_robust,TRUE,TRUE,TRUE,59,59,-0.16846745891171644,3.9294989262506175e-6,1.3098329754168726e-5,TRUE,FALSE,primary_count_level,estimable_xena,59,59,59,0,0,TRUE,exact_match,overlap_estimable
THCA,CYP3A7,,,FALSE,not_estimable_primary,-0.014359134358551033,FALSE,not_robust,FALSE,,,59,59,-0.026421990441126482,0.07603580885875623,0.12096605954802127,FALSE,FALSE,low_expression_not_estimable,estimable_xena,59,59,59,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
THCA,CYP3A43,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,59,59,-0.011905547694641798,0.033256646068294184,0.0596914160200152,FALSE,FALSE,low_expression_not_estimable,estimable_xena,59,59,59,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
