target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,n_contexts,contexts,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,denominator_aligned
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000104324,CPQ,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,4,0.6666666666666666,1,0.16666666666666666,-0.6247294432144158,-0.4854238330979977,0.7042878573577716,0.7706089084816172,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000104812,GYS1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.5803387392104947,0.5933426841690567,0.6882000325816793,0.8044497373288926,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000104973,MED25,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.11126582919087362,0.0946411256667766,0.5834596274367575,0.8607354877815283,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000105063,PPP6R1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.33298877994510007,0.3369176223215509,0.520840236177254,0.7016974995640533,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000105202,FBL,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.49006871216559666,0.5444680618027765,0.7407802015286782,0.8426910237937216,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000105254,TBCB,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.16591028169786437,0.13572907548192048,0.7879857962128176,0.9194614348589394,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000105443,CYTH2,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.1277691339929633,0.14423704398616183,0.6907105292469019,0.8188746221371397,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000105953,OGDH,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,-0.3353218839031835,-0.059021591957005376,0.7880073067645316,0.901292419733856,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000106105,GARS1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,4,0.6666666666666666,0.9270390790009618,0.806231818462203,0.7174496468992112,0.8432642141983595,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000106367,AP1S1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,2,0.3333333333333333,0.3922215938776617,0.5236846295075576,0.8172315359504503,0.88475898893598,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000106723,SPIN1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,-0.15980177547091906,-0.17038257000835844,0.7383803718732874,0.8127631536316928,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000106803,SEC61B,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.24967596654949753,0.28567169096921746,0.8486586178032789,0.958359970540968,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000107745,MICU1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,-0.10912641394218946,-0.13520270197472523,0.4714498743612239,0.7993499397119916,TRUE
