tcga_code,gene_id,gene_symbol,baseline_tpm,organ_specificity_log2,logFC,p_value,q_value_project
KIRC,ENSG00000184012,TMPRSS2,28.7704,7.337690525635261,-6.615671029040307,4.016041718094012e-28,1.8716169751416985e-26
KIRC,ENSG00000113073,SLC4A9,32.4888,7.301985845150582,-6.644233228714097,1.7321559834563956e-30,1.4205021820918766e-28
KIRC,ENSG00000122194,PLG,19.1513,7.3002946191836875,-4.481450836870558,8.306743453854085e-11,2.570255601003871e-10
KIRC,ENSG00000156222,SLC28A1,24.4928,7.272875347389285,2.5289073986070543,3.169464548142275e-12,1.1418275312377703e-11
KIRC,ENSG00000004939,SLC4A1,26.1723,7.2673604424481075,-8.006460027444799,9.070367129024918e-28,3.973309062441185e-26
KIRC,ENSG00000147647,DPYS,39.0948,7.246434604209321,-0.30770378985303976,0.45358772990614893,0.49049418324411215
KIRC,ENSG00000156413,FUT6,19.1085,7.228113231647647,-0.6199765933565606,0.057300080767788225,0.07134858220838414
KIRC,ENSG00000135638,EMX1,18.7951,7.181018121614126,-2.8427033994914166,4.361502432576943e-26,1.3432411713022266e-24
KIRC,ENSG00000178828,RNF186,13.9735,7.13683735308324,0.6685149761396507,0.06852858930417868,0.08449463242994246
KIRC,ENSG00000125618,PAX8,170.038,7.081954872542358,-1.2155936465709825,9.570563166571809e-16,5.1617123496896846e-15
KIRC,ENSG00000129151,BBOX1,79.4822,7.021802953177947,0.27731617010261983,0.4608670390049282,0.4977806325624724
KIRC,ENSG00000162391,FAM151A,45.0986,7.018050687841141,-3.444664411718968,3.016702756783077e-13,1.2222787615476128e-12
KIRC,ENSG00000118785,SPP1,1846.97,6.994310966682743,-0.353976126030348,0.05788119409253156,0.07203825321234016
KIRC,ENSG00000153292,ADGRF1,13.7537,6.962311563930173,-7.641452980114219,5.684478529663432e-26,1.7035721916518258e-24
KIRC,ENSG00000158104,HPD,168.716,6.950861431499183,-4.620304357024604,9.152107251632393e-15,4.398916066107183e-14
KIRC,ENSG00000180638,SLC47A2,35.7057,6.947495166285593,-3.9759293076724216,1.648861582989175e-16,9.67191942691571e-16
KIRC,ENSG00000134240,HMGCS2,32.25,6.942627673260413,-3.3966662687935703,1.906241036637742e-13,7.906733552868328e-13
KIRC,ENSG00000010379,SLC6A13,38.8632,6.908216775817703,1.2822658940312506,3.558687627870608e-6,6.95755986236244e-6
KIRC,ENSG00000180818,HOXC10,20.478,6.905150428003388,0.019498137256056803,0.8430068436558804,0.8598715457449503
KIRC,ENSG00000153822,KCNJ16,53.4062,6.897198698026279,-1.5891070209646638,1.1958253670944847e-22,1.7969654202404196e-21
KIRC,ENSG00000167741,GGT6,18.3253,6.869220925122049,-8.06251021218921,2.2333280044127777e-29,1.4406327413830959e-27
KIRC,ENSG00000136883,KIF12,166.005,6.861864788269679,-0.9459113822994638,1.9453947539580157e-9,5.230736078821159e-9
KIRC,ENSG00000139540,SLC39A5,51.6075,6.82626726485054,0.03215659478418698,0.9346435240966886,0.9423487101662015
KIRC,ENSG00000113924,HGD,44.2492,6.810458791366913,-0.5196360573937016,0.003705121398216928,0.005337574626776998
KIRC,ENSG00000166126,AMN,57.1196,6.744740775052725,0.21896201053816025,0.4477300137756062,0.48470485220345244
